metro_area,median_rent,rent_yoy_change
Los Angeles,2960.439673856575,2.6217053958067447
San Francisco,3053.301180315173,2.513732802104523
Riverside,2553.315195692758,3.4402994141496004
San Diego,3016.945904838154,1.8156039054999449
Sacramento,2319.437782618959,3.3861895358498892
San Jose,3358.886151397046,4.135738769868645
Fresno,2046.7413640542543,3.588344852066374
Bakersfield,1767.178601807549,3.782316789324692
Oxnard,3055.825038199471,4.373966376157309
Stockton,2391.679824561403,2.9443500411164845
Modesto,2013.167151541468,4.47721416456859
Santa Rosa,2651.0268402015067,2.304753487610782
Visalia,1759.8290165165165,5.209366353304071
Vallejo,2465.7358119343194,3.9344709974942793
Santa Maria,3611.0692500378486,2.755228062965477
Salinas,2674.905671296296,4.820658431327394
San Luis Obispo,2748.5010154697084,6.423266674524407
Merced,2008.4310134310133,4.539239391989794
Santa Cruz,3504.868462401795,3.3274204105826573
Chico,1668.3722222222225,5.1734262146323555
Redding,1536.0944444444442,4.043074312658888
El Centro,1698.7777777777776,11.297186654118974
Yuba City,2078.1153846153848,4.398185437802906
Madera,2210.059523809524,3.408673719825654
Hanford,1756.2037037037037,3.1262067128764572
Napa,3032.0440404040405,1.416913977500516
Eureka,1604.7916666666667,4.149811975637427
Truckee,2937.8148148148152,5.04982579600239
Ukiah,1774.1666666666667,
Clearlake,1716.6111111111113,4.554926047305421
Red Bluff,1393.7777777777776,7.232932229139642
Sonora,1562.5,
Susanville,1179.1666666666667,
